Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
trex decking planner,USD,10,?,?,High,71,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,10
contractor to build porch,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
trex deck construction,USD,10,?,0%,Low,0,,,,,,Y,,0,0,10,0,0,0,0,10,0,0,0,10
labor to build a deck,USD,10,-100%,-100%,Unknown,,,,,,,Y,,10,0,10,10,10,10,0,0,0,10,0,0
cost to add a deck to house,USD,10,-100%,0%,Unknown,,,,,,,Y,,0,10,0,10,0,0,10,0,0,10,10,0
residential deck builders,USD,10,?,?,Medium,33,,,,,,Y,,0,0,0,0,10,0,0,0,0,0,10,10
need a new deck,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
certified deck builder,USD,10,-100%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,10,0,0
best patio cover builders near me,USD,10,0%,?,Low,0,,,,,,,,0,0,0,0,0,0,0,0,0,10,10,10
american deck,USD,10,?,?,High,71,,,30%,,,,,10,10,10,10,10,0,10,0,10,0,10,10
new deck build,USD,10,0%,0%,High,100,,,,,,Y,,10,10,0,10,10,10,10,0,10,10,10,10
backyard deck renovations,USD,10,?,?,High,100,,,,,,,,0,10,10,0,0,0,0,0,0,0,0,10
deck construction calculator,USD,10,-100%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0
low maintenance deck,USD,90,320%,2000%,Low,4,,,,,,Y,,10,20,70,70,90,170,110,140,110,50,70,210
average cost for composite deck,USD,10,0%,0%,Low,29,,,,,,,,10,10,10,10,10,10,0,0,0,10,0,10
need deck repair,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
estimate deck replacement cost,USD,10,0%,-100%,Unknown,,,,,,,,,10,0,0,0,0,0,10,0,0,0,0,0
timbertech deck design tool,USD,10,0%,0%,Medium,43,,,,,,,,10,10,10,0,10,10,10,10,10,10,0,10
trex pro platinum,USD,10,0%,0%,Low,18,,,,,,Y,,10,0,10,10,0,0,10,0,0,10,10,10
new deck price,USD,20,100%,-33%,Medium,65,3.47,12.89,30%,,,Y,,40,50,30,30,30,20,10,10,10,10,10,20
local patio and deck builders near me,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
pricing a deck build,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,10,0,0,0,0,0,0,0
amish patio builders,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
cost of having a deck built,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,10,0,0,0,0,0,0,0
trex build a deck,USD,10,?,?,High,86,,,,,,,,10,0,0,10,0,10,0,0,0,0,0,10
design porch online,USD,10,?,?,Medium,57,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,10
deck construction cost estimator,USD,10,0%,-50%,High,86,2.55,8.56,10%,,,,,20,20,10,10,10,10,10,10,10,10,10,10
deck builders near my location,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
design a trex deck,USD,10,0%,0%,Medium,62,1.28,5.98,10%,,,,,10,20,30,10,10,10,10,10,10,10,10,10
backyard wooden deck,USD,10,-100%,-100%,Unknown,,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,0
building a deck blueprints,USD,10,100%,0%,Medium,51,1.33,5.34,5%,,,,,20,20,20,10,10,10,20,10,10,10,10,20
deck project planner,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
exterior deck,USD,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,0,10,10,10,10,10,0,0
deck business near me,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0
deck builder financing,USD,10,0%,-100%,Unknown,,,,,,,,,10,10,0,0,0,10,0,0,0,0,0,0
back deck cost,USD,10,0%,-100%,Unknown,,,,,,,Y,,10,10,10,0,10,0,0,0,0,0,10,0
backyard patio company,USD,10,0%,?,Low,0,,,,,,,,0,0,10,0,0,0,0,0,0,10,0,10
back deck prices,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0
porch plans free,USD,10,0%,-100%,Unknown,,,,,,,,,10,0,0,0,10,10,0,10,0,0,10,0
home deck designs,USD,10,0%,0%,High,74,,,,,,,,10,10,10,10,10,10,0,10,10,10,10,10
deck porch builders,USD,10,?,0%,Low,25,,,,,,,,10,0,10,0,10,0,0,0,10,0,10,10
deck labor calculator,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
custom patio builders,USD,10,0%,0%,Low,0,,,,,,Y,,0,0,0,0,0,0,0,0,0,10,10,10
porch material calculator,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
porch deck plans,USD,10,0%,0%,High,100,,,,,,,,10,0,10,0,0,0,0,0,0,10,0,10
trex deck builders in my area,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0
trex deck layout,USD,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,10,10,0,10,0,0,10,0
average price for deck,USD,10,0%,-67%,Medium,63,2.3,12.3,10%,,,,,20,20,10,10,10,20,10,10,10,10,10,10
best porch builders near me,USD,10,0%,?,Low,0,,,,,,,,0,0,0,0,0,0,10,10,0,10,10,10
build a deck quote,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
deck site plan,USD,10,-100%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,0,10,0,0
deck measurements plan,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0
composite deck estimate calculator,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
deck design guide,USD,10,0%,-100%,Unknown,,,,,,,,,10,0,0,10,0,10,10,10,0,0,0,0
small deck designs,USD,10,0%,0%,High,80,,,10%,,,,,10,30,10,10,10,10,10,10,0,10,10,10
virginia deck,USD,10,200%,50%,Medium,56,9.94,32.43,50%,,,Y,,20,10,10,10,10,10,10,10,10,10,10,30
free deck designer software,USD,10,0%,0%,Medium,51,1.49,7.81,30%,,,,,10,10,10,10,10,10,10,10,10,10,10,10
loudoun fence,USD,170,256%,0%,Medium,54,1.47,15,51%,,,,,260,320,260,210,170,170,170,110,90,90,110,320
add deck to house,USD,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,0,0,10,0,10,10,10,10,0
deck and patio installation,USD,10,0%,?,Low,11,,,20%,,,,,10,10,10,10,0,0,0,0,0,10,10,10
3d deck planner,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,0,0,0,0
house decking,USD,30,50%,0%,Medium,56,3.33,8.74,13%,,,,,40,30,30,20,20,30,30,20,20,20,10,30
deck installation contractors near me,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,10,0
deck building tips,USD,10,?,?,Medium,36,,,,,,,,10,0,10,0,10,10,10,10,0,0,10,10
deck stairs contractor,USD,10,?,0%,Low,29,,,,,,,,10,10,10,10,10,10,10,0,0,0,0,10
backyard deck price,USD,10,0%,0%,Unknown,,,,,,,Y,,10,0,0,0,10,0,0,0,0,0,0,0
create deck plans,USD,10,100%,0%,Medium,51,1.33,5.34,5%,,,,,20,20,20,10,10,10,20,10,10,10,10,20
deck floor plans,USD,10,-100%,0%,Unknown,,,,,,,,,10,0,10,10,10,10,0,0,0,10,0,0
outdoor deck quotes,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
ground level deck framing,USD,10,?,0%,High,86,,,,,,,,10,10,0,10,10,10,10,0,10,0,0,10
deck treatment companies,USD,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0
price a deck,USD,10,0%,-50%,High,69,2.82,6.06,,,,,,20,20,20,20,20,10,10,10,10,10,10,10
top deck construction,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0
custom backyard decks,USD,10,0%,0%,Low,0,,,,,,Y,,10,10,10,0,10,10,0,0,0,10,0,10
online deck quote,USD,10,?,?,Low,0,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,10
patio deck construction,USD,10,0%,0%,Unknown,,,,,,,,,0,10,10,10,10,10,10,0,0,0,10,0
wood deck quote,USD,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,
cost to add a deck,USD,10,0%,-100%,Unknown,,,,,,,Y,,10,10,10,0,10,0,10,0,10,0,10,0
free deck quotes,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
deck additions,USD,10,0%,?,Medium,36,,,10%,,,,,0,10,10,10,0,0,10,0,10,10,10,10
deck design and construction,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,10,0,0,10,0
wood deck price per square foot,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,10,10,0,0,0,0,0,0,0
r and r deck builders,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
wood deck estimate calculator,USD,0,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
best outdoor decks,USD,10,0%,-100%,Unknown,,,,,,,,,0,10,0,10,0,0,0,0,0,0,0,0
average cost deck replacement,USD,10,0%,-100%,Unknown,,,,,,,,,10,0,0,0,0,0,10,0,0,0,10,0
front porch deck plans,USD,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
custom porches,USD,10,-75%,0%,Low,0,,,,,,,,10,0,0,0,0,0,10,10,0,40,0,10
deck installation services,USD,20,0%,0%,Low,0,,,,,,Y,,10,30,10,10,30,70,70,30,20,10,10,10
online porch design tool,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
covered porch contractors,USD,10,0%,?,Low,1,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
pro deck construction,USD,30,600%,600%,Medium,52,6.08,18.28,29%,,,Y,,10,10,10,30,30,30,20,10,30,10,70,70
composite deck replacement cost,USD,10,0%,-100%,Unknown,,,,,,,Y,,10,10,10,10,10,0,10,0,10,0,10,0
deck it pro,USD,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0
deck planning calculator,USD,10,0%,0%,Unknown,,,,,,,,,10,0,10,10,0,10,0,0,0,0,0,0
deck measurements,USD,10,?,?,Medium,51,1.26,4.43,,,,,,10,0,10,10,10,10,10,0,0,0,0,10
amish built decks near me,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
3d deck builder free,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0
deck photos,USD,70,133%,0%,Low,33,1.35,2.96,7%,,,,,70,110,70,90,70,70,70,50,50,30,30,70
building a front porch deck,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0
building a back deck,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
patio and deck repair near me,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
trex deck installation contractors,USD,20,100%,100%,Low,3,,,,,,,,40,40,40,30,30,20,10,10,10,10,10,20
deck sq ft cost,USD,10,?,?,Medium,36,,,,,,,,10,10,0,10,0,0,0,0,0,0,0,10
composite decking planner,USD,10,0%,0%,Unknown,,,,,,,,,10,0,10,0,0,0,0,0,0,0,0,0
backyard deck and patio,USD,10,0%,0%,High,89,1.98,7.86,30%,,,,,10,10,10,10,10,0,10,0,0,10,0,10
house deck builder,USD,10,0%,?,High,100,,,,,,Y,,0,10,10,10,0,0,0,10,0,10,0,10
deck building and repair,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,10,0,0,0,0,0
back deck plans,USD,0,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
outdoor living space builders,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
best online deck designer,USD,0,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
outdoor living contractor,USD,10,-67%,0%,Low,9,,,,,,Y,,0,0,10,10,10,50,10,0,10,30,10,10
outdoor deck renovation,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
outdoor deck designer,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
timbertech installers,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,10,0,0,0
wood deck restoration services,USD,10,?,?,Low,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10
patio deck price,USD,10,?,?,High,100,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,10
trex design a deck,USD,10,0%,0%,Medium,62,1.28,5.98,10%,,,,,10,20,30,10,10,10,10,10,10,10,10,10
replacing deck boards with composite cost,USD,0,0%,-100%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
deck maintenance services near me,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,10,0,0,0,0,0,0,0
deck replacement calculator,USD,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0
deck building tool online,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
composite decking services,USD,10,0%,?,Low,0,,,,,,Y,,0,0,0,0,10,10,0,0,0,10,10,10
cost to extend deck,USD,10,0%,0%,Medium,57,,,,,,,,10,10,10,10,10,10,0,10,0,10,10,10
dream decks llc,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,0
free deck design plans,USD,10,0%,-50%,Medium,66,2.29,6.67,,,,,,20,20,20,30,10,10,10,10,10,10,10,10
porch design tool,USD,10,0%,?,Medium,57,,,,,,,,10,0,0,0,0,0,10,0,0,10,0,10
cost of replacing deck boards,USD,10,0%,0%,High,71,,,,,,Y,,10,10,0,0,10,0,10,0,10,10,0,10
yard deck,USD,10,?,?,Medium,38,,,,,,,,10,10,10,0,0,0,10,0,0,0,10,10
deck and fencing near me,USD,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0
decks by don,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,0,0,10,0
low deck,USD,20,100%,100%,Medium,57,,,,,,,,30,20,20,20,30,20,20,10,10,20,30,40
deck building plans for permit,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
deck builders near,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,10,0,0,0,0,0,0
new deck estimate cost,USD,0,0%,-100%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
decking work,USD,10,0%,0%,Medium,62,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
easiest way to build a deck,USD,10,?,?,High,100,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10
cheapest time to build a deck,USD,10,0%,0%,Unknown,,,,,,,Y,,10,0,0,0,0,0,10,0,0,0,0,0
deck patio builders,USD,10,50%,200%,Medium,34,15.16,30.83,7%,,,Y,,10,20,10,10,10,10,20,10,10,20,10,30
average cost of deck repair,USD,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,0,0,0,10,0,10
deck plus reviews,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
new deck construction cost,USD,20,100%,-33%,Medium,65,3.47,12.89,30%,,,,,40,50,30,30,30,20,10,10,10,10,10,20
front porch design tool,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0
custom patio contractors near me,USD,10,0%,?,Low,0,,,,,,,,0,0,0,0,70,20,0,0,0,10,0,10
cost estimate deck construction,USD,10,0%,-50%,High,86,2.55,8.56,10%,,,,,20,20,10,10,10,10,10,10,10,10,10,10
on deck construction,USD,10,-100%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,10,0,10,0,0
deck sizes,USD,10,0%,0%,Medium,40,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
the deck pros,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0
average new deck cost,USD,10,0%,0%,High,86,2.2,5.27,,,,Y,,10,10,10,10,10,10,10,0,10,10,0,10
cost to get a deck built,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
estimate for composite decking,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
trex outdoor living,USD,10,0%,0%,Unknown,,,,,,,,,10,0,0,10,0,0,0,0,0,0,0,0
deck decking,USD,10,?,?,High,100,,,,,,Y,,0,10,10,10,0,10,0,0,0,0,10,10
custom composite decking,USD,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0
deck price estimate,USD,10,?,0%,Medium,52,3.63,8.14,,,,,,10,10,10,0,0,0,10,10,10,0,10,10
precision deck and patio,USD,10,0%,?,Low,0,,,,,,,,10,0,0,0,0,0,0,0,0,10,0,10
engineered deck plans,USD,10,0%,-100%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,10,0,0,0
azek deck builder,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
deck company reviews,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
building an elevated deck,USD,10,0%,-100%,Unknown,,,,,,,,,0,10,0,0,0,10,0,0,0,0,0,0
free deck calculator,USD,10,0%,0%,High,71,2.09,7.95,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
build your own deck plans,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
low cost decking,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
composite deck price calculator,USD,10,0%,0%,Medium,49,1.89,6.28,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
low deck design,USD,10,?,0%,High,100,,,,,,,,10,0,10,10,10,0,10,10,0,0,10,10
home deck construction,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,10,0,0,0,0
wood deck price calculator,USD,10,?,0%,Medium,50,,,,,,,,10,10,10,0,10,0,0,10,10,0,10,10
cost to build patio deck,USD,10,0%,-100%,Unknown,,,,,,,,,0,0,0,10,0,0,0,0,0,0,0,0
deck repair prices,USD,10,0%,0%,Unknown,,,,,,,,,10,10,0,0,10,0,0,0,0,0,0,0
the cost to build a deck,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,10,0,0,0,0
outdoor fence and deck contractors,USD,0,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
all pro decks,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
patio remodeling companies near me,USD,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
house deck plans,USD,10,?,?,High,100,,,,,,,,10,0,10,0,0,0,0,10,0,0,0,10
deck design for permit,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,10,0,0,0
custom deck and fence,USD,10,0%,0%,Medium,36,,,,,,Y,,10,10,10,10,10,10,10,10,10,10,10,10
back porch contractors,USD,10,0%,?,Low,7,,,,,,,,0,10,10,0,0,0,0,10,10,10,10,10
pro deck design,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,10,0,0,0,0,0,0,0,0,0
price per sq ft to build a deck,USD,10,-100%,-100%,Unknown,,,,,,,,,0,0,10,10,0,10,0,0,0,10,0,0
back deck construction,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
approximate deck cost,USD,10,0%,-67%,Medium,63,2.3,12.3,10%,,,,,20,20,10,10,10,20,10,10,10,10,10,10
deck redo cost,USD,10,?,?,High,86,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10
wood deck company,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
porch planner,USD,10,0%,0%,High,75,,,,,,,,10,10,10,10,0,10,10,0,0,10,10,10
most cost effective decking material,USD,10,?,0%,High,100,,,,,,,,10,10,10,10,0,10,10,0,10,0,0,10
all weather deck and rail,USD,0,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
deck installation financing,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
build deck plans online,USD,0,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
i want to build a deck in my backyard,USD,10,?,?,High,86,,,,,,,,0,10,10,0,0,0,0,0,0,0,0,10
back deck builder,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
average deck price per square foot,USD,10,0%,-100%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0
estimate cost of deck replacement,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
wood patio cost,USD,10,-100%,-100%,Unknown,,,,,,,,,10,0,0,10,10,10,0,0,0,10,0,0
trex designs,USD,10,0%,0%,Low,14,,,,,,,,10,10,10,10,10,10,10,0,10,10,10,10
deck diy plans,USD,10,0%,0%,Medium,39,,,,,,,,10,10,10,10,10,10,10,0,10,10,0,10
to build a deck,USD,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0
trex decking financing,USD,10,0%,0%,High,71,,,,,,,,10,0,0,0,0,0,0,0,0,10,0,10
local deck repair companies,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,0,0,0,0
deck framing designer,USD,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,10,10,10,0,0,0,0
patio deck remodel,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,10,10,10,0,0,0
multi level deck,USD,30,300%,33%,Low,0,,,,,,,,10,50,50,50,40,30,30,20,10,10,20,40
backyard deck remodel,USD,10,?,?,High,100,,,,,,Y,,0,10,10,0,0,0,0,0,0,0,0,10
fix a deck,USD,10,?,?,High,86,,,,,,,,10,10,10,10,10,0,0,10,0,0,0,10
deck resurfacing companies,USD,10,0%,-100%,Unknown,,,,,,,Y,,0,10,0,10,10,10,0,0,0,0,0,0
free deck building plans,USD,10,0%,-50%,Medium,66,2.29,6.67,,,,,,20,20,20,30,10,10,10,10,10,10,10,10
deck architectural plans,USD,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,10,10,0,0,10,10,0,0
deck design estimator,USD,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0
front porch plans free,USD,10,0%,0%,Unknown,,,,,,,,,10,0,10,10,0,10,0,0,0,0,0,0
timbertech decking dealers near me,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
home deck and fence company,USD,10,?,?,Low,0,,,,,,Y,,10,0,0,0,0,0,0,0,0,0,0,10
your deck builder,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,10,0,0,0,0,0,0,0,0,0
deck stair design tool,USD,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,10,0,0,0,0
cost to add deck to house,USD,10,0%,-100%,Unknown,,,,,,,,,0,10,0,0,0,10,10,0,0,0,0,0
best deck designer,USD,10,-100%,0%,Unknown,,,,,,,,,0,0,0,10,10,10,0,0,0,10,0,0
outdoor porch builders,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
patio building company,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0
ground deck plans,USD,10,0%,-100%,Unknown,,,,,,,,,0,0,10,0,10,0,10,0,0,0,0,0
deck planning guide,USD,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
elevated deck designs,USD,10,0%,0%,Low,0,,,,,,,,0,10,10,10,10,0,10,10,10,10,10,10
front porch deck designs,USD,10,0%,-100%,Unknown,,,,,,,,,0,10,0,10,0,0,10,10,10,0,0,0
patio deck calculator,USD,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,0,0,0,0,0,0
nova deck and fence,USD,10,?,0%,Medium,43,,,,,,,,10,10,10,10,10,10,0,10,0,0,10,10
average price of a new deck,USD,10,-100%,-100%,Unknown,,,,,,,,,10,10,0,0,10,0,0,0,0,10,0,0
decks by design reviews,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
nova deck,USD,10,100%,100%,Medium,66,6.43,20.08,25%,,,,,10,10,10,10,20,10,20,10,10,10,10,20
custom wood decks,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
average cost of replacing a deck,USD,10,0%,0%,Medium,66,6.92,16.13,,,,,,10,10,10,10,10,10,10,10,0,10,10,10
deck boards replacement cost,USD,20,200%,0%,Medium,44,2.13,13.7,10%,,,,,40,30,20,50,20,30,30,10,10,10,10,30
free deck estimates,USD,10,0%,-100%,Unknown,,,,,,,,,0,10,0,0,0,0,10,0,0,0,0,0
custom patio decks,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
deck building for dummies,USD,10,0%,-100%,Unknown,,,,,,,,,0,0,0,10,10,0,0,0,0,0,0,0
patio porch builders,USD,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0
deck design and material calculator,USD,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0
average cost new deck,USD,10,0%,0%,Unknown,,,,,,,Y,,0,0,10,0,0,0,0,0,0,0,0,0
patio roof builder,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
custom deck & porch,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
back deck remodel,USD,10,0%,-100%,Unknown,,,,,,,,,0,0,10,10,0,0,0,0,0,0,0,0
wood deck blueprints,USD,10,0%,0%,High,75,,,,,,,,10,10,10,10,0,10,0,0,10,10,0,10
i need a deck,USD,0,0%,0%,Unknown,,,,,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0
custom outdoor decks,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
best deck designer software,USD,10,0%,-100%,Unknown,,,,,,,,,10,0,0,0,10,0,0,0,0,0,0,0
ground level deck cost estimator,USD,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
deck drawing plans,USD,10,0%,0%,Low,24,,,,,,,,10,10,10,10,10,10,0,10,10,10,0,10
